City,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Jamestown,US,61.34,42.097,-79.2353,clear sky,Hampton Inn & Suites Jamestown
2,Hilo,US,87.28,19.7297,-155.09,moderate rain,Hilo Hawaiian Hotel
5,Touros,BR,76.1,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
6,Corsicana,US,80.96,32.0954,-96.4689,clear sky,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
8,Georgetown,MY,80.89,5.4112,100.3354,few clouds,Cititel Penang
10,Port Alfred,ZA,64.33,-33.5906,26.891,scattered clouds,The Halyards Hotel
11,Nador,MA,64.65,35.174,-2.9287,clear sky,Hôtel La Giralda
12,Kapaa,US,84.18,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
13,Palmer,US,57.85,42.1584,-72.3287,clear sky,Wedgewood Motel
16,Airai,TL,76.01,-8.9266,125.4092,overcast clouds,Juvinal Martin
18,Ziarat,PK,58.59,30.3823,67.7282,clear sky,Pakiza Guest House
19,Mataura,NZ,52.48,-46.1927,168.8643,clear sky,Ellie's Villa
20,Tual,ID,80.74,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
22,Hualmay,PE,62.29,-11.0964,-77.6139,scattered clouds,Hotel Villa Kitzia Huacho
24,Mar Del Plata,AR,54.09,-38.0023,-57.5575,overcast clouds,Gran Hotel Mar del Plata
25,Marawi,PH,74.64,7.9986,124.2928,broken clouds,Derogongan Residence
28,Gemena,CD,67.86,3.25,19.7667,overcast clouds,Hôtel Goshen
29,Avarua,CK,78.85,-21.2078,-159.775,scattered clouds,Paradise Inn
30,Atuona,PF,78.12,-9.8,-139.0333,clear sky,Villa Enata
32,San Patricio,US,80.69,28.017,-97.5169,overcast clouds,"Motel 6 Sinton, TX"
33,Yinchuan,CN,66.76,38.4681,106.2731,overcast clouds,JJ Inns - Yinchuan New Moon Square Branch
36,Guerrero Negro,MX,70.95,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
37,Agbor,NG,72.46,6.2518,6.1934,overcast clouds,MIRAMAS HOTEL
39,Atherton,GB,64.29,53.5237,-2.4935,overcast clouds,The Lion Inn
40,Sulangan,PH,83.05,11.1373,123.7228,overcast clouds,Maia's Beach Resort
41,Kaeo,NZ,53.56,-35.1,173.7833,light rain,Bushido Lodge
42,Hobart,AU,57.25,-42.8794,147.3294,few clouds,Mantra on Collins Hobart
44,Arraial Do Cabo,BR,71.26,-22.9661,-42.0278,broken clouds,Pousada Porto Praia
45,Siavonga,ZM,75.02,-16.5382,28.7088,scattered clouds,Lavongora Waterfront Lodge
46,Svarstad,NO,53.26,59.399,9.9698,overcast clouds,Sogn Gjestegard
47,Sao Miguel Do Araguaia,BR,83.55,-13.275,-50.1628,broken clouds,Hotel Executivo Palace
